Feedstuff,As fed (% DM),TDN (%),NEI,NEm Mcal/lb. ,NEg,CP(%),EE(%),CF(%),ADF(%),Ash(%),Ca(%),P(%),K(%),Mg(%)
"Beans , common , cracked",89,68.6 *,0.71,0.71 *,0.40 *,27.6,1.4,3.3,4,9,-,,,
"Beans , field or navy",90,87,0.91,0.97,0.64,25.4,1.5,4.7,6,4.6,0.17,0.63,1.41,0.18
"Beans , green",89,63,0.65,0.63,0.35,16.9,3.8,25.3,32,9,,,,
"Beans , horse",87.3,78.8,0.82,0.85,0.54,29.2,1.5,8.8,11,4,0.15,0.62,,
"Beans , horse , ground",88.4,73.4 *,0.76 *,0.78 *,0.46 *,29.2,1.6,4.4,6,4,,,,
"Beans , horse , hulled",88.3,77.0 *,0.80 *,0.82 *,0.51 *,33.1,2.2,0.9,1,3,,,,
"Beans , kidney",89,83,0.87,0.9,0.6,24.7,1.5,4.7,6,4.2,0.12,0.45,1.1,
"Beans , lima",90,83,0.87,0.9,0.6,23.1,1.5,5.1,6,-,0.09,0.42,1.8,
"Beans , locust",90.8,73.6,0.76,0.78,0.47,7.3,0.6,9.8,12,3.1,-,-,,
"Beans , mung",90,84,0.88,0.91,0.61,26.6,1.4,4.3,5,4.2,0.14,0.68,1.15,
"Beans , navy",89,84,0.88,0.94,0.64,25.3,1.5,5,6,5.2,0.18,0.59,1.47,0.15
"Beans , pinto",90,83,0.87,0.9,0.6,25.2,1.4,4.5,6,4.8,0.16,0.39,,
"Beans , tepary",90.5,74.4,0.77,0.79,0.48,24.5,1.5,3.8,5,4.6,,,,
"Beans , velvet",89.3,87.1,0.91,0.96,0.64,23.8,5.4,10.8,14,3.7,0.27,0.36,-,
"Beet crowns , sugar",18,58.3,0.59,0.58,0.26,16.8,1.8,10.4,22,19.9,-,―,—,
"Beet crowns w / tops , sugar , silage",22,51,0.51,0.46,0.21,13.4,2.8,13.7,16,32.5,2.32,0.2,5.79,1.07
"Beet pulp , dried",91,78,0.81,0.86,0.57,9.7,0.6,19.8,33,4.4,0.69,0.1,0.2,0.27
"Beet pulp , molasses dried",92,78,0.81,0.86,0.57,10.1,0.6,16.5,25,6.1,0.61,0.1,1.78,0.16
"Beet pulp , silage",11.1,75,0.78,0.8,0.52,13.5,1.9,31.9,40,4,,,,
"Beet tailings silage , sugar",18.9,50.4 *,0.51 *,0.47 *,0.15 *,9.5,5.3,23.8,30,16.4,-,,,
"Beet tops , mangels",12.6,60.7,0.62,0.61,0.29,17,4.2,11.4,14,19.2,-,,-,
"Beet tops , red",9,53,0.53,0.5,0.19,24.2,3.3,14.3,18,-,1.31,0.44,6.26,-
"Beet tops , sugar",17,58,0.59,0.56,0.27,15.1,1.1,11.2,14,22.9,1.01,0.22,5.79,1.12
"Beets , common",13,80.3,0.84,0.87,0.56,12.3,0.8,6.9,9,11.5,0.23,0.31,2.15,0.15
"Beets , mangels",13.8,79.2,0.83,0.85,0.54,11.3,0.6,7.5,9,9.7,0.22,0.22,1.98,0.19
"Beets , red",12.7,76.8,0.8,0.82,0.51,12.6,0.8,6.3,8,8.7,0.13,0.26,-,
"Bread , dried",92,89,0.94,0.99,0.65,13.3,3.1,1,1,2,0.09,0.16,0.16,-
"Bread , waste",68.3,89.3,0.95,1,0.69,15,2.2,-,3,2.8,0.14,0.2,0.23,0.05
Brewer dried grain 25 % CP,92,66,0.68,0.69,0.41,25.4,6.5,14.9,24,4.8,0.33,0.55,0.09,0.16
"Brewers dried grains , Calif .",92,60,0.61,0.58,0.32,22.2,6.3,20,29,4.1,0.29,0.54,0.11,0.15
"Brewers grains , wet",21,66,0.68,0.69,0.41,25.4,6.5,14.9,23,4.8,0.33,0.55,0.09,0.16
Broccoli,11,70,0.72,0.73,0.41,33,2.8,13.8,17,10.1,0.92,0.73,3.49,
Brussels sprouts,15,73,0.76,0.77,0.46,33.1,2.7,10.8,14,8.1,0.27,0.54,2.64,
Buckwheat,86.6,70.7,0.73,0.74,0.53,12.5,2.8,13.5,17,2.3,,,,
Buckwheat middlings,88.7,83.7,0.88,0.91,0.6,33.5,8.2,8.3,10,5.5,-,1.15,,
Cabbage,9.5,85.3,0.89,0.93,0.63,25.3,4.2,15.8,20,14.7,0.64,0.35,2.53,0.21
Cabbage leaves,14.8,66.7,0.69,0.69,0.37,14.4,2.6,14.3,18,15.6,0.63,0.21,,
"Cabbage powder , dried",88.3,67.8 *,0.70 *,0.70 *,0.39 *,16.9,4.5,9.5,12,7.9,-,,-,
"Cactus , prickly pear",20.6,58.8,0.6,0.59,0.26,4.8,2.3,13.4,17,18.9,9.16,0.12,1.21,1.65
"Cactus , spineless",5.3,49.2 *,0.49 *,0.46 *,0.13 *,13.5,1.7,11,14,23,-,,,
Canarygrass hay,91,0.53,0.53,0.53,0.18,9,2.7,32,34,8,0.38,0.25,2.7,
Canola seed,89.9,127.4,1.6,1.49,1.08,20.5,40.5,-,12,4.6,0.44,0.68,0.91,0.21
Cantaloupe,10,66,0.68,0.68,0.37,20.4,8.3,20.6,26,-,,,,
"Caraway seeds , unspec - extn , ground",86.2,89.5,0.94,0.99,0.83,24.9,16.1,15.9,20,7.8,-,,,
Carrot pulp,14,62.8 *,0.64 *,0.64 *,0.32 *,6.4,7.8,18.6,23,8.6,-,,,
Carrot tops,16,74,0.77,0.77,0.49,13.1,3.8,18.1,23,15,1.94,0.19,1.88,
Carrots,12,84,0.88,0.64,0.64,9.9,1.4,9.1,11,8.2,0.4,0.35,2.8,0.2
"Cassava roots , dried , ground",90.9,79.4,0.83,0.86,0.54,2.9,0.7,4.9,6,2.3,-,0.03,-,
Cauliflower,9,70,0.72,0.73,0.42,30,2.2,11.1,14,-,0.22,0.67,3.33,
Celery,6,62,0.63,0.61,0.33,15.3,1.7,10.2,13,16.9,0.66,0.47,5.78,
"Celery powder , dried",91.9,51.9 *,0.52 *,0.50 *,0.17 *,23.1,6.3,10.2,13,25.7,-,,,
Cereal byproduct,88.5,87.6,0.9,0.96,0.66,9.1,3.5,-,4,3.2,0.17,0.29,0.33,0.1
"Cheese , cottage",21,81.2,0.85,0.88,0.57,81,1.4,0,0,4.8,0.43,0.86,,
"Cherry leaves , black , sun - cured",76.1,59.9,0.61,0.6,0.28,15.5,3.5,22.6,28,4.1,,,,
Chestnut meats,47.5,87.5,0.92,0.96,0.65,6.1,3.2,2.3,3,2.1,0.06,0.19,,
"Chickpeas ( garbanzo beans ) , dried",89,89,0.93,0.99,0.65,21.9,4.4,7.9,10,3.3,0.17,0.37,0.89,-
Chocolate byproduct,95.2,102.7,1.16,1.16,0.82,11.9,20.5,-,16,2.1,0.22,0.3,1.18,0.22
Citrus pulp,18,78,0.81,0.86,0.57,7.3,9.7,15.6,20,7.7,-,-,,
"Citrus pulp , dried",91,77,0.8,0.85,0.55,6.7,3.7,12.7,22,6.6,1.84,0.12,0.79,0.17
"Citrus pulp , silage",21,78,0.81,0.86,0.57,7.3,9.7,15.6,25,5.5,2.04,0.15,0.62,0.16
"Clover seed , bur",93.4,57.8 *,0.59 *,0.57 *,0.25 *,23,5.7,26.8,34,9.5,,,,
"Clover seed , sweet",92,67,0.69,0.68,0.4,40.6,4.6,12.3,15,3.8,,,,
Clover seed screenings,88.1,68.8,0.71,0.72,0.4,33.1,7.7,13.1,16,13,,,,
"Coconut meal , mech - extd",92,82,0.86,0.91,0.61,22.4,6.9,12.8,19,7.3,0.22,0.66,1.62,0.33
"Coconut meal , solv - extd",91,75,0.78,0.81,0.53,23.4,2.7,16,24,7.4,0.19,0.66,1.63,0.36
"Coconut meats , dried",96,109,1.16,1.32,0.75,7.5,67.3,4,5,0.03,0.2,0.61,,
Coffee grounds,88,20,0.16,0.36,0,13,15,41,68,2,0.1,0.08,,
Coffee hulls ( coffee chaff ),90,51.1,0.51,0.48,0.16,17.3,8.2,36.2,45,5.4,,,,-
"Comfrey , prickly",13.2,58.3,0.59,0.58,0.26,19.7,2.4,13.8,17,18.2,-,0.55,,-
Cookie byproduct,90.1,95,1.02,1.06,0.74,9.7,10.6,-,7,3,0.23,0.29,0.46,0.13
"Corn , broom",88.4,77.3 *,0.80 *,0.83 *,0.52 *,10.6,4.8,5.8,7,4.1,,,,
"Corn , cannery waste",23,70,0.72,0.73,0.42,8.8,2.7,22,29,5.9,3.4,0.63,,
"Corn , cannery waste , silage",29,72,0.75,0.76,0.44,8.8,2.7,27,34,5.9,0.34,0.63,,
"Corn , Egyptian",85.7,82.6 *,0.86 *,0.90 *,0.59 *,11.7,3.8,2.3,3,2.4,,,,
"Corn , Egyptian brown",89,82.6 *,0.86 *,0.90 *,0.59 *,12.6,4.3,2.6,3,2,,,,
"Corn , kafir",90.7,90.9,0.96,1.01,0.69,10.9,3.3,1.5,2,1.6,0.03,0.34,0.37,0.17
"Corn , screenings",86,91,0.95,1.02,0.69,10,4.3,3,4,2,0.04,0.27,0.4,
Corn bran,91,76,0.78,0.81,0.52,11,6.3,10,17,3,0.04,0.15,0.1,-
"Corn cobs , ground",90,50,0.5,0.44,0.19,3.2,0.7,36.2,35,1.7,0.12,0.04,0.87,0.07
Corn distillers dried solubles,93,88,0.91,0.98,0.66,28,9.2,4.5,7,7.4,0.35,1.37,1.8,0.65
Corn distillers stillage,7,92,0.96,1.03,0.7,22,8.1,8,10,5,0.14,0.72,0.2,-
"Corn ears , ground",87,83,0.87,0.92,0.62,9,3.7,9.4,11,1.9,0.07,0.27,0.53,0.14
Corn gluten feed,90,80,0.87,0.92,0.62,22,3.2,9,12,7.5,0.1,0.82,1.3,0.42
"Corn gluten meal , 60 % protein",90,89,0.94,1,0.69,67.2,2.4,2.2,5,1.8,0.08,0.54,0.21,0.09
Corn stover,85,50,0.5,0.44,0.19,5.9,1.3,34.4,39,7.2,0.57,0.1,1.45,0.4
Cotton gin trash,90,44,0.43,0.39,0.03,7.4,1.7,36.7,46,5.9,0.65,0.12,-,
"Cottonseed , whole",92,96,1.01,1.1,0.77,23,20,24,34,4.8,0.21,0.64,1,0.46
"Cottonseed , whole , extruded",92,87,0.91,0.98,0.67,26,9.5,32,44,5,0.17,0.68,1.3,0.38
"Cottonseed , whole , without lint",90,96,1.01,1.1,0.77,25,23.8,17.2,26,4.5,0.12,0.54,1.18,0.41
Cottonseed hulls,91,45,0.45,0.35,0.11,4.1,1.7,47.8,73,2.8,0.15,0.09,0.87,0.14
"Cottonseed meal 41 % CP , mech - extd",93,78,0.81,0.85,0.56,44.3,5,12.8,20,6.6,0.21,1.16,1.45,0.58
"Cottonseed meal 41 % CP , solv - extd",91,76,0.79,0.83,0.55,45.6,1.3,14.1,19,7,0.22,1.21,1.39,0.55
"Cottonseed meal 50 % CP , solv - extd",93,75,0.78,0.81,0.53,54,1.4,8.8,12,7.1,0.19,1.24,1.56,0.5
"Cowpea hay , sun - cured",90,59,0.6,0.58,0.32,19.4,3.1,26.7,34,11.3,1.4,0.35,2.26,0.45
Crab waste meal,91,29,0.3,0.37,0,32,3,11,13,43,15,1.88,0.5,
"Crambe meal , mech - extd",92,88,0.91,0.98,0.65,0.28,17,24,33,7,1.22,0.78,1,
"Crambe meal , solv - extd",91,81,0.84,0.88,0.58,31,1.4,25,35,8,1.27,0.86,1.1,
Cranberry pulp meal,88,49,0.48,0.49,0.11,7,15.7,26,47,2,,,,
Crawfish waste meal,94,25,0.29,0.36,0,35,-,-,15,42,13.1,0.85,,
"Date seeds , ground",90,78,0.81,0.83,0.54,6.6,9,15.7,20,-,,,,
"Durra , brown",88.7,90.2,0.95,1,0.68,12.1,3.6,1.8,2,2.1,,,,-
"Durra , white",89,90.2,0.95,1,0.68,11.9,4.1,1.5,2,2.4,-,,,
Dyna - ferm,75,48,0.48,0.48,0.28,29.3,0.1,0.3,1,2.7,-,,,
"Eggs w / o shells , dried",96,130,1.39,1.74,0.6,49,43,0,0,3.8,0.2,0.83,0.48,-
Fat,99,177,1.92,2.16,1.6,-,99.5,-,-,-,-,,,-
"Feather meal , hydrolyzed",90,63,0.65,0.63,0.35,87.4,2.9,0.6,1,3.8,0.2,0.75,,-
Fenugreek seed,90.7,71.7 *,0.74,* 0.75 *,0.44 *,29.2,6.2,10.4,13,4,,,,-
Feterita,88.6,84.8 *,0.89,* 0.93 *,0.61 *,10.7,2.4,1.5,2,1.7,,,,
"Figs , dried",76,76.2,0.79,0.81,0.5,,-,0,0,-,,,,
"Filaree , mature , dried",89,48.1,0.48,0.45,0.11,3.9,1.7,35.3,44,9.6,-,,,-
Fish meal,92,73,0.76,0.79,0.5,66.7,10.5,1,1,20.8,5.65,3.16,0.76,0.16
"Fish solubles , dried",93.7,78.6,0.82,0.84,0.53,69.9,9.9,0.5,1,15.8,1.36,1.8,,-
Flax hulls,91,38,0.37,0.31,0,8.5,1.5,31.5,39,10.4,-,,,-
Flax seed screenings,91,64,0.66,0.65,0.39,18.2,10.2,13.2,18,6.8,0.37,0.47,0.84,0.43
Flax seeds,94,115,1.22,1.43,0.74,25.6,38.3,6.7,8,5.2,0.23,0.55,0.84,-
Glycerol ( glycerin ),88,90,0.94,1,0.68,0,0,0,0,5,-,-,,-
Grain dust,92,73,0.75,0.77,0.48,10,2.2,11,-,10,0.3,0.18,,-
grains w / solubles,,,,,,,,,,,,,,
"Grape / pear / apple pomace , dried",92.2,40.1,0.39,0.34,0,7.3,4,25.3,32,3.5,0.24,0.2,0.41,0.04
"Grape meal , dried",90,30.2,0.28,0.21,0,,,0,0,-,,,,-
"Grape pomace , dried",91,33,0.31,0.15,0,13,7.9,31.9,54,10.3,0.61,0.06,0.62,0.1
"Grape pomace , w / o stems , dried",90.6,61.5,0.63,0.62,0.3,14,7.9,33.3,42,6,,,,-
Grape seeds,85,52.9 *,0.53,* 0.51 *,0.18 *,11.5,6.5,47.2,59,3.2,-,,,-
Grapefruit,14,85,0.89,0.93,0.62,8.1,4.4,10.3,13,3.7,0.51,0.15,-,-
"Grapefruit pulp , dried",91,80,0.83,0.85,0.57,6.7,1.5,13.9,17,6,1.48,0.18,,-
"hay , mature , sun - cured",,,,,,,,,,,,,,
Hegari fodder,90,61,0.62,0.53,0.23,6.8,1.9,20.2,25,8.5,0.3,0.18,,-
Hegari stover,90,48,0.48,0.45,0.11,6.2,2,31.1,39,11,0.37,0.09,,-
Hempseed,91.1,90.1 *,0.95,* 1.00 *,0.68 *,20,35.8,16.5,21,4.6,-,,,-
Hop leaves,37,49,0.48,0.49,0.11,15,3.6,15,-,35,2.8,0.64,,-
Hop vine silage,30,53,0.53,0.53,0.18,15,3.1,21,24,20,3.3,0.37,1.8,-
Hops spent,89,37,0.35,0.4,0,23,4.5,26,30,7,1.6,0.6,,
Malva,20.5,58.7 *,0.60 *,0.58 *,0.26 *,31.5,4.9,14.6,18,16.3,-,,,
"Manure , cage layer , dried",90,52,0.52,0.49,0.17,28,2,12.7,16,-,8.8,2.5,2.33,
"Manure , cattle , dried",93,45,0.45,0.4,0.05,12.7,2.5,37.5,47,-,0.87,1.6,0.5,
mech - extd ( canola meal ),,,,,,,,,,,,,,
"Melon seeds , citron",91.5,64.5 *,0.66 *,0.66 *,0.34 *,9.1,19.1,45.9,57,2.4,,,,
Melons,4.1,70.7,0.73,0.74,0.43,11.5,3.3,23,29,6.6,-,,,
"Melons , pie",6.1,74.6,0.77,0.79,0.48,11.5,3.3,23,29,6.6,-,,,-
"Milk , buttermilk",9.7,86,0.9,0.94,0.62,41.2,5.2,0,0,7.2,1.38,0.95,0.72,0.62
"Milk , buttermilk , dried , feed - grade",93,86,0.9,0.94,0.62,34.2,5.6,0.4,1,10.8,1.07,0.73,1.35,0.1
"Milk , cattle , skim",10,92,0.97,1.05,0.73,31.2,1,0,0,6.9,1.31,1.04,1.9,0.12
"Milk , cattle , skim , dried",94,85,0.89,0.95,0.65,35.8,0.9,0.2,0,8.4,1.36,1.09,1.7,0.13
"Milk , cattle , whole",12,129,1.38,1.52,0.98,26.7,29.5,0,0,6.3,0.95,0.76,1.12,0.1
"Milk , cattle , whole , dried",96,119,1.27,1.39,1.01,26.5,27.8,0.2,0,5.7,0.95,0.76,1.08,0.1
"Milk , colostrum",24.8,130,1.39,1.64,0.91,45.9,24.2,0,0,4.5,-,,,
Millet hulls,88.4,13.6,0.1,0,0,4.4,1.4,51.8,7,10.8,-,,,
Millet seeds,89.9,66.8,0.69,0.69,0.38,13.5,4.5,7.2,9,3.3,0.06,0.31,0.48,0.18
Mint slug silage,27,55,0.55,0.21,0.55,14,1.8,24,-,14,1.1,0.57,,
"Molasses , beet",78,75,0.78,0.81,0.53,8.5,0.2,0,0,11.3,0.17,0.03,6.07,0.29
"Molasses , cane",75,72,0.75,0.77,0.49,5.8,0.1,0,0,13.1,1,0.11,3.84,0.43
"Molasses , cane , 3 % H3PO4",75,70,0.72,0.7,0.44,4.2,0,0,0,12.2,1.15,0.95,3.84,0.43
"Molasses , citrus",68,75,0.78,0.81,0.53,8.2,0.3,0,0,7.9,1.72,0.13,0.14,0.21
"Molasses , wood ( Masonex )",76,60,0.61,0.6,0.34,0.7,0.4,1,2,4.1,0.83,0.12,,-
Oat hay,90,54,0.54,0.54,0.2,10,2.3,31,39,8,0.4,0.27,1.6,
Oat hulls,92,35,0.34,0.19,0,3.9,1.8,33.4,42,6.6,0.15,0.15,0.62,0.09
Oat middlings,91,95,1,1.09,0.76,16.4,7,3.9,6,2.5,0.08,0.49,0.55,0.16
Oat mill byproduct,92,31,0.29,0.23,0,6.1,2.1,29.4,37,6.4,0.16,0.22,0.6,0.87
Oat mill feed,92.9,33.7,0.32,0.26,0,3.1,1.1,35.1,44,6.4,0.11,0.05,,
Oat shorts,91,60,0.61,0.59,0.3,14.1,6.1,14.8,19,5.3,-,,-,
Oat straw,92,50,0.5,0.44,0.19,4.4,2.2,40.5,47,7.8,0.24,0.06,2.57,0.18
"Oats , sprouted 5 days",13.2,70,0.72,0.73,0.42,18.1,5.2,19.7,25,4.1,,,,
"Olive pulp w / o pits , dried",95,78,0.81,0.83,0.54,14.7,28.8,20.3,25,3.6,,,,
"Olive pulp w / o pits , solv - extd",91,36,0.35,0.29,0,14.2,3.9,26.9,34,8.5,,,,
"Olive pulp w / pits , dried",92,40,0.39,0.34,0,6.4,16.9,39.7,50,2.7,,,,
"Olive waste , dried",91.3,38.9,0.38,0.32,0,14.2,3.9,26.9,34,9.3,-,,,
"Olives , cull",42,89,0.93,0.99,0.67,4.5,35.5,27.2,34,5.1,0.01,0.1,,
"Onion waste , dried",89.4,61.2 *,0.63 *,0.62 *,0.30 *,9.7,4.9,22.1,28,6.4,-,,,
"Onions , dried",91.4,57.6 *,0.59 *,0.57 *,0.25 *,12.6,2,22.6,28,8,1.8,0.21,1.76,0.16
"Orange byproducts , dried",90.6,70.2 *,0.73,0.73 *,0.42 *,8.3,3,14.7,18,3.4,0.71,0.11,,
"Orange pulp , ammoniated , dried",89,73,0.76,0.77,0.46,16.5,3.7,13.9,17,3.8,0.71,0.11,-,
"Orange pulp , dried",88,78,0.81,0.86,0.57,8.5,1.7,9.6,16,3.8,0.71,0.11,0.62,0.16
"Orange pulp , silage",11.3,64.9 *,0.67 *,0.66 *,0.35 *,8.8,2.2,17.7,22,5.3,,,,
"Orange pulp , wet",25,77,0.8,0.83,0.51,8.9,1.8,13,16,3.8,0.21,0.28,1.05,-
Oranges,13,78,0.81,0.86,0.57,7.5,1.9,11.3,14,4.4,0.57,0.13,,
Palm nut meal,89.6,83.7,0.88,0.91,0.6,18.8,10.6,26.8,34,4.8,,,,
Parsnips,13.7,89.2,0.94,0.98,0.67,11.7,1.4,7.3,9,5.1,,,-,
Pea hay,88,58,0.59,0.56,0.27,13.6,2.5,30.2,38,7.6,1.39,0.28,1.42,0.38
"Pea meal , dried",90,84,0.88,0.91,0.61,19.7,1.6,26.3,33,3.4,-,,,
"Pea pods , dried",88,67,0.69,0.68,0.4,10.8,1.1,35.6,45,5.3,1.47,0.23,-,-
Pea vine silage,25,57,0.58,0.55,0.29,13.1,3.3,29.8,49,9,1.31,0.24,1.4,0.39
Pea vine straw,85,56,0.57,0.54,0.24,8.9,1.8,39.5,49,6.8,1,0.11,1.2,
Peaches,10,80,0.83,0.86,0.55,8.9,3.7,10.3,13,,,,,
"Peaches , dried",90,77.8,0.81,0.83,0.52,-,-,0,0,-,-,,,
"Peanut hay , sun - cured",91,55,0.56,0.52,0.26,10.8,3.4,33.2,41,8.6,1.23,0.15,1.38,0.49
Peanut hulls,91,22,0.18,0.36,0,8,1.5,63,65,5,0.2,0.07,0.9,-
"Peanut meal , mech - extd",93,83,0.87,0.92,0.62,52,6.3,7.5,10,5.5,0.2,0.61,1.25,0.31
"Peanut meal , solv - extd",92,77,0.8,0.85,0.55,52.3,1.4,10.8,18,6.3,0.29,0.68,1.23,0.17
Peanut skins,94,65,0.67,0.65,0.37,17.4,25.5,12.6,16,3,0.19,0.2,-,
"Pear pulp , dried , ground",91.5,70.6,0.73,0.74,0.43,6.1,2.1,23.8,30,4,2.38,0.12,-,
Pears,17.3,86.7,0.91,0.95,0.64,-,-,0,0,-,,,,
"Pears , cannery residue",15.2,69.3,0.72,0.72,0.41,3.9,1.3,17.1,21,2,,,,
